,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
38,mobileOG_000047269|NGR_a00180|WP_034000381.1|integration/excision|NA|Multiple|Homology,NODE_7_length_281552_cov_59.919378_1 # 3 # 1271 # -1 # ID=7_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.623,94.8,825,504,8.50e-303,423,1,423,1,423,mobileOG_000047269,NGR_a00180,WP_034000381.1,integration/excision,NA,Multiple,Homology,NODE_7_length_281552_cov_59.919378_1, 3 # 1271 # -1 , 3,1271,-1 ,7_1,7,1,10,ATG,GGAG/GAGG,5-10bp,0.623,NODE_7_length_281552_cov_59.919378,mobileOG_000047269_NODE_7_length_281552_cov_59.919378
39,mobileOG_000276410|NGR_a00180|A0A3M4K943|integration/excision|NA|ISFinder|Homology,NODE_7_length_281552_cov_59.919378_1 # 3 # 1271 # -1 # ID=7_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.623,94.8,824,504,2.44e-302,423,1,423,1,423,mobileOG_000276410,NGR_a00180,A0A3M4K943,integration/excision,NA,ISFinder,Homology,NODE_7_length_281552_cov_59.919378_1, 3 # 1271 # -1 , 3,1271,-1 ,7_1,7,1,10,ATG,GGAG/GAGG,5-10bp,0.623,NODE_7_length_281552_cov_59.919378,mobileOG_000276410_NODE_7_length_281552_cov_59.919378
40,mobileOG_000062027|NGR_a00180|WP_023383750.1|integration/excision|NA|Multiple|Homology,NODE_7_length_281552_cov_59.919378_1 # 3 # 1271 # -1 # ID=7_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.623,94.8,824,504,3.46e-302,423,1,423,1,423,mobileOG_000062027,NGR_a00180,WP_023383750.1,integration/excision,NA,Multiple,Homology,NODE_7_length_281552_cov_59.919378_1, 3 # 1271 # -1 , 3,1271,-1 ,7_1,7,1,10,ATG,GGAG/GAGG,5-10bp,0.623,NODE_7_length_281552_cov_59.919378,mobileOG_000062027_NODE_7_length_281552_cov_59.919378
41,mobileOG_000316403|NGR_a00180|WP_121757886.1|integration/excision|NA|Plasmid RefSeq|Homology,NODE_7_length_281552_cov_59.919378_1 # 3 # 1271 # -1 # ID=7_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.623,94.7,812,501,1.15e-297,423,6,420,9,423,mobileOG_000316403,NGR_a00180,WP_121757886.1,integration/excision,NA,Plasmid RefSeq,Homology,NODE_7_length_281552_cov_59.919378_1, 3 # 1271 # -1 , 3,1271,-1 ,7_1,7,1,10,ATG,GGAG/GAGG,5-10bp,0.623,NODE_7_length_281552_cov_59.919378,mobileOG_000316403_NODE_7_length_281552_cov_59.919378
42,mobileOG_000303121|NGR_a00180|A0A0P7D1W2|integration/excision|NA|Plasmid RefSeq|Homology,NODE_7_length_281552_cov_59.919378_1 # 3 # 1271 # -1 # ID=7_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.623,92.4,808,504,4.29e-296,423,1,423,1,423,mobileOG_000303121,NGR_a00180,A0A0P7D1W2,integration/excision,NA,Plasmid RefSeq,Homology,NODE_7_length_281552_cov_59.919378_1, 3 # 1271 # -1 , 3,1271,-1 ,7_1,7,1,10,ATG,GGAG/GAGG,5-10bp,0.623,NODE_7_length_281552_cov_59.919378,mobileOG_000303121_NODE_7_length_281552_cov_59.919378
43,mobileOG_000054788|NGR_a00180|A0A059V6G3|integration/excision|NA|Multiple|Homology,NODE_7_length_281552_cov_59.919378_1 # 3 # 1271 # -1 # ID=7_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.623,92.4,808,504,6.09e-296,423,1,423,1,423,mobileOG_000054788,NGR_a00180,A0A059V6G3,integration/excision,NA,Multiple,Homology,NODE_7_length_281552_cov_59.919378_1, 3 # 1271 # -1 , 3,1271,-1 ,7_1,7,1,10,ATG,GGAG/GAGG,5-10bp,0.623,NODE_7_length_281552_cov_59.919378,mobileOG_000054788_NODE_7_length_281552_cov_59.919378
44,mobileOG_000348204|NGR_a00180|WP_150345780.1|integration/excision|NA|Plasmid RefSeq|Homology,NODE_7_length_281552_cov_59.919378_1 # 3 # 1271 # -1 # ID=7_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.623,90.8,796,504,3.21e-291,423,1,423,1,423,mobileOG_000348204,NGR_a00180,WP_150345780.1,integration/excision,NA,Plasmid RefSeq,Homology,NODE_7_length_281552_cov_59.919378_1, 3 # 1271 # -1 , 3,1271,-1 ,7_1,7,1,10,ATG,GGAG/GAGG,5-10bp,0.623,NODE_7_length_281552_cov_59.919378,mobileOG_000348204_NODE_7_length_281552_cov_59.919378
45,mobileOG_000047538|NGR_a00180|WP_005740312.1|integration/excision|NA|Multiple|Homology,NODE_7_length_281552_cov_59.919378_1 # 3 # 1271 # -1 # ID=7_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.623,91.5,793,504,3.74e-290,423,1,423,1,423,mobileOG_000047538,NGR_a00180,WP_005740312.1,integration/excision,NA,Multiple,Homology,NODE_7_length_281552_cov_59.919378_1, 3 # 1271 # -1 , 3,1271,-1 ,7_1,7,1,10,ATG,GGAG/GAGG,5-10bp,0.623,NODE_7_length_281552_cov_59.919378,mobileOG_000047538_NODE_7_length_281552_cov_59.919378
46,mobileOG_000047496|NGR_a00180|A0A2K4X3I7|integration/excision|NA|COMPASS|Homology,NODE_7_length_281552_cov_59.919378_1 # 3 # 1271 # -1 # ID=7_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.623,92.0,795,534,3.97e-290,423,1,423,1,423,mobileOG_000047496,NGR_a00180,A0A2K4X3I7,integration/excision,NA,COMPASS,Homology,NODE_7_length_281552_cov_59.919378_1, 3 # 1271 # -1 , 3,1271,-1 ,7_1,7,1,10,ATG,GGAG/GAGG,5-10bp,0.623,NODE_7_length_281552_cov_59.919378,mobileOG_000047496_NODE_7_length_281552_cov_59.919378
47,mobileOG_000064595|NGR_a00180|WP_019437297.1|integration/excision|NA|Multiple|Homology,NODE_7_length_281552_cov_59.919378_1 # 3 # 1271 # -1 # ID=7_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.623,91.3,790,504,8.77e-289,423,1,423,1,423,mobileOG_000064595,NGR_a00180,WP_019437297.1,integration/excision,NA,Multiple,Homology,NODE_7_length_281552_cov_59.919378_1, 3 # 1271 # -1 , 3,1271,-1 ,7_1,7,1,10,ATG,GGAG/GAGG,5-10bp,0.623,NODE_7_length_281552_cov_59.919378,mobileOG_000064595_NODE_7_length_281552_cov_59.919378
48,mobileOG_000276412|NGR_a00180|A0A2G9KTL6|integration/excision|NA|ISFinder|Homology,NODE_7_length_281552_cov_59.919378_1 # 3 # 1271 # -1 # ID=7_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.623,90.5,787,504,1.45e-287,423,1,423,1,423,mobileOG_000276412,NGR_a00180,A0A2G9KTL6,integration/excision,NA,ISFinder,Homology,NODE_7_length_281552_cov_59.919378_1, 3 # 1271 # -1 , 3,1271,-1 ,7_1,7,1,10,ATG,GGAG/GAGG,5-10bp,0.623,NODE_7_length_281552_cov_59.919378,mobileOG_000276412_NODE_7_length_281552_cov_59.919378
49,mobileOG_000276385|NGR_a00180|A0A0Q0C807|integration/excision|NA|ISFinder|Homology,NODE_7_length_281552_cov_59.919378_1 # 3 # 1271 # -1 # ID=7_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.623,90.5,784,504,2.40e-286,423,1,423,1,423,mobileOG_000276385,NGR_a00180,A0A0Q0C807,integration/excision,NA,ISFinder,Homology,NODE_7_length_281552_cov_59.919378_1, 3 # 1271 # -1 , 3,1271,-1 ,7_1,7,1,10,ATG,GGAG/GAGG,5-10bp,0.623,NODE_7_length_281552_cov_59.919378,mobileOG_000276385_NODE_7_length_281552_cov_59.919378
50,mobileOG_000330730|NGR_a00180|WP_138962863.1|integration/excision|NA|Plasmid RefSeq|Homology,NODE_7_length_281552_cov_59.919378_1 # 3 # 1271 # -1 # ID=7_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.623,90.8,783,504,3.41e-286,423,1,423,1,423,mobileOG_000330730,NGR_a00180,WP_138962863.1,integration/excision,NA,Plasmid RefSeq,Homology,NODE_7_length_281552_cov_59.919378_1, 3 # 1271 # -1 , 3,1271,-1 ,7_1,7,1,10,ATG,GGAG/GAGG,5-10bp,0.623,NODE_7_length_281552_cov_59.919378,mobileOG_000330730_NODE_7_length_281552_cov_59.919378
51,mobileOG_000276321|tnpB|A0A5E6TAQ3|integration/excision|NA|ISFinder|Homology,NODE_7_length_281552_cov_59.919378_3 # 6790 # 7149 # 1 # ID=7_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.558,98.3,246,119,3.94e-85,120,1,119,1,119,mobileOG_000276321,tnpB,A0A5E6TAQ3,integration/excision,NA,ISFinder,Homology,NODE_7_length_281552_cov_59.919378_3, 6790 # 7149 # 1 , 6790,7149,1 ,7_3,7,3,00,ATG,GGAG/GAGG,5-10bp,0.558,NODE_7_length_281552_cov_59.919378,mobileOG_000276321_NODE_7_length_281552_cov_59.919378
52,mobileOG_000061358|tnpB|A0A1M7QHE6|integration/excision|NA|COMPASS|Homology,NODE_7_length_281552_cov_59.919378_3 # 6790 # 7149 # 1 # ID=7_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.558,91.6,237,119,1.81e-81,120,1,119,1,119,mobileOG_000061358,tnpB,A0A1M7QHE6,integration/excision,NA,COMPASS,Homology,NODE_7_length_281552_cov_59.919378_3, 6790 # 7149 # 1 , 6790,7149,1 ,7_3,7,3,00,ATG,GGAG/GAGG,5-10bp,0.558,NODE_7_length_281552_cov_59.919378,mobileOG_000061358_NODE_7_length_281552_cov_59.919378
53,mobileOG_000328791|tnpB|WP_080394283.1|integration/excision|NA|Plasmid RefSeq|Homology,NODE_7_length_281552_cov_59.919378_3 # 6790 # 7149 # 1 # ID=7_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.558,91.5,235,118,1.01e-80,120,1,118,2,119,mobileOG_000328791,tnpB,WP_080394283.1,integration/excision,NA,Plasmid RefSeq,Homology,NODE_7_length_281552_cov_59.919378_3, 6790 # 7149 # 1 , 6790,7149,1 ,7_3,7,3,00,ATG,GGAG/GAGG,5-10bp,0.558,NODE_7_length_281552_cov_59.919378,mobileOG_000328791_NODE_7_length_281552_cov_59.919378
54,mobileOG_000276405|tnpB|A0A3M4KGY1|integration/excision|NA|Multiple|Homology,NODE_7_length_281552_cov_59.919378_3 # 6790 # 7149 # 1 # ID=7_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.558,90.8,234,119,2.11e-80,120,1,119,1,119,mobileOG_000276405,tnpB,A0A3M4KGY1,integration/excision,NA,Multiple,Homology,NODE_7_length_281552_cov_59.919378_3, 6790 # 7149 # 1 , 6790,7149,1 ,7_3,7,3,00,ATG,GGAG/GAGG,5-10bp,0.558,NODE_7_length_281552_cov_59.919378,mobileOG_000276405_NODE_7_length_281552_cov_59.919378
55,mobileOG_000276318|tnpB|A0A495PHC8|integration/excision|NA|ISFinder|Homology,NODE_7_length_281552_cov_59.919378_3 # 6790 # 7149 # 1 # ID=7_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.558,90.8,234,119,4.26e-80,120,1,119,1,119,mobileOG_000276318,tnpB,A0A495PHC8,integration/excision,NA,ISFinder,Homology,NODE_7_length_281552_cov_59.919378_3, 6790 # 7149 # 1 , 6790,7149,1 ,7_3,7,3,00,ATG,GGAG/GAGG,5-10bp,0.558,NODE_7_length_281552_cov_59.919378,mobileOG_000276318_NODE_7_length_281552_cov_59.919378
56,mobileOG_000352771|tnpB|WP_078983211.1|integration/excision|NA|Plasmid RefSeq|Homology,NODE_7_length_281552_cov_59.919378_3 # 6790 # 7149 # 1 # ID=7_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.558,90.7,233,118,1.18e-79,120,1,118,2,119,mobileOG_000352771,tnpB,WP_078983211.1,integration/excision,NA,Plasmid RefSeq,Homology,NODE_7_length_281552_cov_59.919378_3, 6790 # 7149 # 1 , 6790,7149,1 ,7_3,7,3,00,ATG,GGAG/GAGG,5-10bp,0.558,NODE_7_length_281552_cov_59.919378,mobileOG_000352771_NODE_7_length_281552_cov_59.919378
57,mobileOG_000319158|tnpB|WP_135004289.1|integration/excision|NA|Plasmid RefSeq|Homology,NODE_7_length_281552_cov_59.919378_3 # 6790 # 7149 # 1 # ID=7_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.558,90.7,232,118,2.39e-79,120,1,118,2,119,mobileOG_000319158,tnpB,WP_135004289.1,integration/excision,NA,Plasmid RefSeq,Homology,NODE_7_length_281552_cov_59.919378_3, 6790 # 7149 # 1 , 6790,7149,1 ,7_3,7,3,00,ATG,GGAG/GAGG,5-10bp,0.558,NODE_7_length_281552_cov_59.919378,mobileOG_000319158_NODE_7_length_281552_cov_59.919378
58,mobileOG_000401146|NA:Keyword|F0FY92|integration/excision|NA|COMPASS|Keyword Search,NODE_7_length_281552_cov_59.919378_4 # 7168 # 8748 # 1 # ID=7_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.594,96.0,1024,526,0.0,527,1,526,1,526,mobileOG_000401146,NA:Keyword,F0FY92,integration/excision,NA,COMPASS,Keyword Search,NODE_7_length_281552_cov_59.919378_4, 7168 # 8748 # 1 , 7168,8748,1 ,7_4,7,4,00,ATG,None,None,0.594,NODE_7_length_281552_cov_59.919378,mobileOG_000401146_NODE_7_length_281552_cov_59.919378
59,mobileOG_000332057|tnpB|WP_004575513.1|integration/excision|NA|Plasmid RefSeq|Homology,NODE_7_length_281552_cov_59.919378_93 # 131066 # 131401 # 1 # ID=7_93;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.619,97.3,226,111,1.87e-77,112,1,111,1,111,mobileOG_000332057,tnpB,WP_004575513.1,integration/excision,NA,Plasmid RefSeq,Homology,NODE_7_length_281552_cov_59.919378_93, 131066 # 131401 # 1 , 131066,131401,1 ,7_93,7,93,00,ATG,None,None,0.619,NODE_7_length_281552_cov_59.919378,mobileOG_000332057_NODE_7_length_281552_cov_59.919378
60,mobileOG_000023559|tnpB|A0A517CTI4|integration/excision|NA|Multiple|Manual,NODE_7_length_281552_cov_59.919378_93 # 131066 # 131401 # 1 # ID=7_93;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.619,96.4,225,111,7.61e-77,112,1,111,1,111,mobileOG_000023559,tnpB,A0A517CTI4,integration/excision,NA,Multiple,Manual,NODE_7_length_281552_cov_59.919378_93, 131066 # 131401 # 1 , 131066,131401,1 ,7_93,7,93,00,ATG,None,None,0.619,NODE_7_length_281552_cov_59.919378,mobileOG_000023559_NODE_7_length_281552_cov_59.919378
61,mobileOG_000282443|tnpB|WP_065760316.1|integration/excision|NA|Multiple|Homology,NODE_7_length_281552_cov_59.919378_93 # 131066 # 131401 # 1 # ID=7_93;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.619,96.4,224,111,1.08e-76,112,1,111,1,111,mobileOG_000282443,tnpB,WP_065760316.1,integration/excision,NA,Multiple,Homology,NODE_7_length_281552_cov_59.919378_93, 131066 # 131401 # 1 , 131066,131401,1 ,7_93,7,93,00,ATG,None,None,0.619,NODE_7_length_281552_cov_59.919378,mobileOG_000282443_NODE_7_length_281552_cov_59.919378
62,mobileOG_000269123|tnpB|A0A0H2ZH61|integration/excision|NA|ICE|Homology,NODE_7_length_281552_cov_59.919378_93 # 131066 # 131401 # 1 # ID=7_93;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.619,95.5,224,111,1.08e-76,112,1,111,1,111,mobileOG_000269123,tnpB,A0A0H2ZH61,integration/excision,NA,ICE,Homology,NODE_7_length_281552_cov_59.919378_93, 131066 # 131401 # 1 , 131066,131401,1 ,7_93,7,93,00,ATG,None,None,0.619,NODE_7_length_281552_cov_59.919378,mobileOG_000269123_NODE_7_length_281552_cov_59.919378
63,mobileOG_000293147|tnpB|A0A5N7XX90|integration/excision|NA|Plasmid RefSeq|Homology,NODE_7_length_281552_cov_59.919378_93 # 131066 # 131401 # 1 # ID=7_93;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.619,96.4,224,121,1.50e-76,112,11,121,1,111,mobileOG_000293147,tnpB,A0A5N7XX90,integration/excision,NA,Plasmid RefSeq,Homology,NODE_7_length_281552_cov_59.919378_93, 131066 # 131401 # 1 , 131066,131401,1 ,7_93,7,93,00,ATG,None,None,0.619,NODE_7_length_281552_cov_59.919378,mobileOG_000293147_NODE_7_length_281552_cov_59.919378
64,mobileOG_000276152|tnpB|A0A5N7XX90|integration/excision|NA|ISFinder|Homology,NODE_7_length_281552_cov_59.919378_93 # 131066 # 131401 # 1 # ID=7_93;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.619,96.4,224,129,1.95e-76,112,19,129,1,111,mobileOG_000276152,tnpB,A0A5N7XX90,integration/excision,NA,ISFinder,Homology,NODE_7_length_281552_cov_59.919378_93, 131066 # 131401 # 1 , 131066,131401,1 ,7_93,7,93,00,ATG,None,None,0.619,NODE_7_length_281552_cov_59.919378,mobileOG_000276152_NODE_7_length_281552_cov_59.919378
65,mobileOG_000288538|tnpB|WP_064613830.1|integration/excision|NA|Plasmid RefSeq|Homology,NODE_7_length_281552_cov_59.919378_93 # 131066 # 131401 # 1 # ID=7_93;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.619,94.6,221,111,1.80e-75,112,1,111,1,111,mobileOG_000288538,tnpB,WP_064613830.1,integration/excision,NA,Plasmid RefSeq,Homology,NODE_7_length_281552_cov_59.919378_93, 131066 # 131401 # 1 , 131066,131401,1 ,7_93,7,93,00,ATG,None,None,0.619,NODE_7_length_281552_cov_59.919378,mobileOG_000288538_NODE_7_length_281552_cov_59.919378
66,mobileOG_000276319|tnpB|Q877N3|integration/excision|NA|ISFinder|Homology,NODE_7_length_281552_cov_59.919378_93 # 131066 # 131401 # 1 # ID=7_93;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.619,95.5,220,111,7.32e-75,112,1,111,1,111,mobileOG_000276319,tnpB,Q877N3,integration/excision,NA,ISFinder,Homology,NODE_7_length_281552_cov_59.919378_93, 131066 # 131401 # 1 , 131066,131401,1 ,7_93,7,93,00,ATG,None,None,0.619,NODE_7_length_281552_cov_59.919378,mobileOG_000276319_NODE_7_length_281552_cov_59.919378
67,mobileOG_000375640|tnpB|WP_009684097.1|integration/excision|NA|Plasmid RefSeq|Homology,NODE_7_length_281552_cov_59.919378_93 # 131066 # 131401 # 1 # ID=7_93;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.619,91.9,216,111,2.46e-73,112,1,111,1,111,mobileOG_000375640,tnpB,WP_009684097.1,integration/excision,NA,Plasmid RefSeq,Homology,NODE_7_length_281552_cov_59.919378_93, 131066 # 131401 # 1 , 131066,131401,1 ,7_93,7,93,00,ATG,None,None,0.619,NODE_7_length_281552_cov_59.919378,mobileOG_000375640_NODE_7_length_281552_cov_59.919378
68,mobileOG_000343667|tnpB|WP_136917516.1|integration/excision|NA|Plasmid RefSeq|Homology,NODE_7_length_281552_cov_59.919378_93 # 131066 # 131401 # 1 # ID=7_93;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.619,91.0,216,111,3.49e-73,112,1,111,1,111,mobileOG_000343667,tnpB,WP_136917516.1,integration/excision,NA,Plasmid RefSeq,Homology,NODE_7_length_281552_cov_59.919378_93, 131066 # 131401 # 1 , 131066,131401,1 ,7_93,7,93,00,ATG,None,None,0.619,NODE_7_length_281552_cov_59.919378,mobileOG_000343667_NODE_7_length_281552_cov_59.919378
69,mobileOG_000330008|tnpB|WP_010465920.1|integration/excision|NA|Multiple|Homology,NODE_7_length_281552_cov_59.919378_93 # 131066 # 131401 # 1 # ID=7_93;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.619,91.0,215,111,4.96e-73,112,1,111,1,111,mobileOG_000330008,tnpB,WP_010465920.1,integration/excision,NA,Multiple,Homology,NODE_7_length_281552_cov_59.919378_93, 131066 # 131401 # 1 , 131066,131401,1 ,7_93,7,93,00,ATG,None,None,0.619,NODE_7_length_281552_cov_59.919378,mobileOG_000330008_NODE_7_length_281552_cov_59.919378
70,mobileOG_000276351|IS_Pl3_3|A0A2S5I981|integration/excision|NA|Multiple|Homology,NODE_7_length_281552_cov_59.919378_95 # 132319 # 132999 # 1 # ID=7_95;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.581,96.0,451,511,4.17e-158,227,286,511,1,226,mobileOG_000276351,IS_Pl3_3,A0A2S5I981,integration/excision,NA,Multiple,Homology,NODE_7_length_281552_cov_59.919378_95, 132319 # 132999 # 1 , 132319,132999,1 ,7_95,7,95,00,GTG,GGA/GAG/AGG,5-10bp,0.581,NODE_7_length_281552_cov_59.919378,mobileOG_000276351_NODE_7_length_281552_cov_59.919378
71,mobileOG_000335918|IS_Pl3_3|WP_010792763.1|integration/excision|NA|Plasmid RefSeq|Homology,NODE_7_length_281552_cov_59.919378_95 # 132319 # 132999 # 1 # ID=7_95;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.581,95.6,448,511,3.40e-157,227,286,511,1,226,mobileOG_000335918,IS_Pl3_3,WP_010792763.1,integration/excision,NA,Plasmid RefSeq,Homology,NODE_7_length_281552_cov_59.919378_95, 132319 # 132999 # 1 , 132319,132999,1 ,7_95,7,95,00,GTG,GGA/GAG/AGG,5-10bp,0.581,NODE_7_length_281552_cov_59.919378,mobileOG_000335918_NODE_7_length_281552_cov_59.919378
72,mobileOG_000276320|IS_Pl3_3|Q877J6|integration/excision|NA|ISFinder|Homology,NODE_7_length_281552_cov_59.919378_95 # 132319 # 132999 # 1 # ID=7_95;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.581,95.6,448,511,4.82e-157,227,286,511,1,226,mobileOG_000276320,IS_Pl3_3,Q877J6,integration/excision,NA,ISFinder,Homology,NODE_7_length_281552_cov_59.919378_95, 132319 # 132999 # 1 , 132319,132999,1 ,7_95,7,95,00,GTG,GGA/GAG/AGG,5-10bp,0.581,NODE_7_length_281552_cov_59.919378,mobileOG_000276320_NODE_7_length_281552_cov_59.919378
73,mobileOG_000269124|IS_Pl3_3|A0A0H2ZG38|integration/excision|NA|ICE|Homology,NODE_7_length_281552_cov_59.919378_95 # 132319 # 132999 # 1 # ID=7_95;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.581,92.9,434,511,9.83e-152,227,286,509,1,224,mobileOG_000269124,IS_Pl3_3,A0A0H2ZG38,integration/excision,NA,ICE,Homology,NODE_7_length_281552_cov_59.919378_95, 132319 # 132999 # 1 , 132319,132999,1 ,7_95,7,95,00,GTG,GGA/GAG/AGG,5-10bp,0.581,NODE_7_length_281552_cov_59.919378,mobileOG_000269124_NODE_7_length_281552_cov_59.919378
74,mobileOG_000287814|IS_Pl3_3|A0A514YRD2|integration/excision|NA|Plasmid RefSeq|Homology,NODE_7_length_281552_cov_59.919378_95 # 132319 # 132999 # 1 # ID=7_95;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.581,91.1,429,508,8.35e-150,227,283,506,1,224,mobileOG_000287814,IS_Pl3_3,A0A514YRD2,integration/excision,NA,Plasmid RefSeq,Homology,NODE_7_length_281552_cov_59.919378_95, 132319 # 132999 # 1 , 132319,132999,1 ,7_95,7,95,00,GTG,GGA/GAG/AGG,5-10bp,0.581,NODE_7_length_281552_cov_59.919378,mobileOG_000287814_NODE_7_length_281552_cov_59.919378
75,mobileOG_000054562|IS_Pl3_3|WP_065760317.1|integration/excision|NA|Multiple|Homology,NODE_7_length_281552_cov_59.919378_95 # 132319 # 132999 # 1 # ID=7_95;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.581,90.7,427,511,5.28e-149,227,286,511,1,226,mobileOG_000054562,IS_Pl3_3,WP_065760317.1,integration/excision,NA,Multiple,Homology,NODE_7_length_281552_cov_59.919378_95, 132319 # 132999 # 1 , 132319,132999,1 ,7_95,7,95,00,GTG,GGA/GAG/AGG,5-10bp,0.581,NODE_7_length_281552_cov_59.919378,mobileOG_000054562_NODE_7_length_281552_cov_59.919378
76,mobileOG_000332065|IS_Pl3_3|WP_010465918.1|integration/excision|NA|Multiple|Homology,NODE_7_length_281552_cov_59.919378_95 # 132319 # 132999 # 1 # ID=7_95;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.581,90.3,419,508,1.47e-145,227,283,508,1,226,mobileOG_000332065,IS_Pl3_3,WP_010465918.1,integration/excision,NA,Multiple,Homology,NODE_7_length_281552_cov_59.919378_95, 132319 # 132999 # 1 , 132319,132999,1 ,7_95,7,95,00,GTG,GGA/GAG/AGG,5-10bp,0.581,NODE_7_length_281552_cov_59.919378,mobileOG_000332065_NODE_7_length_281552_cov_59.919378
77,mobileOG_000329570|dnaB|A0A1T1HSD9|replication/recombination/repair|NA|Plasmid RefSeq|Homology,NODE_12_length_147848_cov_88.915423_53 # 52998 # 54395 # -1 # ID=12_53;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.614,94.6,860,465,1.51e-316,466,1,465,1,465,mobileOG_000329570,dnaB,A0A1T1HSD9,replication/recombination/repair,NA,Plasmid RefSeq,Homology,NODE_12_length_147848_cov_88.915423_53, 52998 # 54395 # -1 , 52998,54395,-1 ,12_53,12,53,00,ATG,None,None,0.614,NODE_12_length_147848_cov_88.915423,mobileOG_000329570_NODE_12_length_147848_cov_88.915423
